class,tn,fp,fn,tp,precision,recall,specificity,f1,accuracy
Atelectasis,17685,1927,1025,1208,0.3853269537480064,0.5409762651141962,0.9017438303079747,0.45007451564828616,0.8648661020828565
Cardiomegaly,20873,384,297,291,0.4311111111111111,0.49489795918367346,0.9819353624688338,0.4608076009501188,0.9688258182650492
Effusion,17676,1347,985,1837,0.5769472361809045,0.6509567682494685,0.929190979340798,0.6117216117216117,0.8932478828107119
Infiltration,14951,3062,1850,1982,0.3929421094369548,0.517223382045929,0.8300116582468218,0.44659756647138343,0.7751430533302816
Mass,20297,451,694,403,0.4718969555035129,0.3673655423883318,0.9782629651050704,0.4131214761660687,0.9475852597848478
Nodule,19526,1122,757,440,0.28169014084507044,0.36758563074352546,0.9456605966679582,0.3189561435302646,0.9139848935683222
Pneumonia,21106,458,237,44,0.08764940239043825,0.15658362989323843,0.9787608977926173,0.1123882503192848,0.968184939345388
Pneumothorax,20346,495,543,461,0.48221757322175735,0.4591633466135458,0.9762487404635094,0.4704081632653061,0.9524834058136873
Consolidation,19974,945,628,298,0.23974255832662913,0.32181425485961124,0.9548257564893159,0.2747810050714615,0.9279926756694896
Edema,20963,438,295,149,0.25383304940374785,0.3355855855855856,0.9795336666510911,0.2890397672162948,0.9664454108491646
Emphysema,21247,203,239,156,0.43454038997214484,0.3949367088607595,0.9905361305361305,0.41379310344827586,0.9797665369649805
Fibrosis,21255,278,258,54,0.16265060240963855,0.17307692307692307,0.987089583430084,0.16770186335403728,0.9754634927901121
Pleural_Thickening,20442,716,476,211,0.22761596548004315,0.3071324599708879,0.9661593723414311,0.2614622057001239,0.9454337376974136
Hernia,21753,60,23,9,0.13043478260869565,0.28125,0.997249346719846,0.17821782178217818,0.9962005035477226
No_Finding,6056,3966,1732,10091,0.7178629864124635,0.8535058783726635,0.6042706046697266,0.7798299845440494,0.7391622796978714
