class,tn,fp,fn,tp,precision,recall,specificity,f1,accuracy
Atelectasis,19612,0,2231,2,1.0,0.0008956560680698612,1.0,0.0017897091722595077,0.8978713664454109
Cardiomegaly,21257,0,588,0,0.0,0.0,1.0,0.0,0.9730830853742275
Effusion,19023,0,2807,15,1.0,0.005315379163713678,1.0,0.010574550581600282,0.8715037766079194
Infiltration,18013,0,3832,0,0.0,0.0,1.0,0.0,0.8245822842755779
Mass,20747,1,1096,1,0.5,0.0009115770282588879,0.9999518025833816,0.0018198362147406734,0.949782558937972
Nodule,20648,0,1197,0,0.0,0.0,1.0,0.0,0.9452048523689631
Pneumonia,21564,0,281,0,0.0,0.0,1.0,0.0,0.987136644541085
Pneumothorax,20837,4,994,10,0.7142857142857143,0.0099601593625498,0.9998080706300082,0.019646365422396856,0.954314488441291
Consolidation,20919,0,926,0,0.0,0.0,1.0,0.0,0.9576104371709774
Edema,21401,0,444,0,0.0,0.0,1.0,0.0,0.9796749828336003
Emphysema,21450,0,395,0,0.0,0.0,1.0,0.0,0.9819180590524147
Fibrosis,21533,0,312,0,0.0,0.0,1.0,0.0,0.9857175555046922
Pleural_Thickening,21158,0,687,0,0.0,0.0,1.0,0.0,0.9685511558709087
Hernia,21813,0,32,0,0.0,0.0,1.0,0.0,0.9985351338979171
