class,tn,fp,fn,tp,precision,recall,specificity,f1,accuracy
Atelectasis,17833,1779,1282,951,0.34835164835164834,0.425884460367219,0.9092902304711401,0.38323594600040295,0.8598764019226368
Cardiomegaly,20828,429,342,246,0.36444444444444446,0.41836734693877553,0.9798184127581503,0.38954869358669836,0.9647058823529412
Effusion,17011,2012,849,1973,0.4951066499372647,0.6991495393338059,0.8942332965357724,0.5796973703540473,0.8690318150606546
Infiltration,14601,3412,1920,1912,0.35912847483095417,0.4989561586638831,0.8105812468772553,0.41764962865880295,0.755916685740444
Mass,19621,1127,664,433,0.2775641025641026,0.39471285323609845,0.9456815114709851,0.32593150169363944,0.9180132753490501
Nodule,19757,891,845,352,0.2831858407079646,0.29406850459482037,0.9568481208833786,0.28852459016393445,0.920531013962005
Pneumonia,19999,1565,208,73,0.04456654456654457,0.2597864768683274,0.9274253385271749,0.0760812923397603,0.9188372625314717
Pneumothorax,19705,1136,446,558,0.3293978748524203,0.5557768924302788,0.9454920589223166,0.41363973313565605,0.9275806820782788
Consolidation,18330,2589,521,405,0.13527054108216433,0.4373650107991361,0.8762369138104116,0.20663265306122447,0.8576333257038223
Edema,20549,852,266,178,0.17281553398058253,0.4009009009009009,0.96018877622541,0.2415196743554953,0.9488212405584802
Emphysema,21154,296,248,147,0.33182844243792325,0.3721518987341772,0.9862004662004662,0.35083532219570407,0.9750972762645914
Fibrosis,20830,703,247,65,0.08463541666666667,0.20833333333333334,0.9673524357962198,0.12037037037037038,0.9565117875944152
Pleural_Thickening,20422,736,540,147,0.1664779161947905,0.21397379912663755,0.9652141034124209,0.18726114649681527,0.9415884641794461
Hernia,21768,45,23,9,0.16666666666666666,0.28125,0.9979370100398844,0.20930232558139536,0.9968871595330739
