class,tn,fp,fn,tp,precision,recall,specificity,f1,accuracy
Atelectasis,15836,3776,841,1392,0.2693498452012384,0.6233766233766234,0.8074648174586988,0.3761653830563437,0.7886472877088578
Cardiomegaly,20764,493,312,276,0.3589076723016905,0.46938775510204084,0.9768076398362893,0.4067796610169492,0.9631494621194782
Effusion,17449,1574,1054,1768,0.5290245362058648,0.6265060240963856,0.9172580560374284,0.5736534717715769,0.8796978713664454
Infiltration,14058,3955,1744,2088,0.3455237464835347,0.5448851774530271,0.7804363515238995,0.4228860759493671,0.7391165026321813
Mass,19816,932,641,456,0.3285302593659942,0.41567912488605285,0.9550800077115866,0.3670020120724346,0.9279926756694896
Nodule,19517,1131,823,374,0.24850498338870433,0.31244778613199664,0.9452247191011236,0.2768319763138416,0.9105516136415656
Pneumonia,20815,749,199,82,0.098676293622142,0.2918149466192171,0.9652661843813763,0.14748201438848924,0.9566033417257954
Pneumothorax,20285,556,585,419,0.4297435897435897,0.41733067729083667,0.9733218175711338,0.4234461849418898,0.9477683680476081
Consolidation,17633,3286,457,469,0.12490013315579228,0.5064794816414687,0.8429179215067641,0.2003845332193976,0.8286564431219959
Edema,20890,511,293,151,0.2280966767371601,0.3400900900900901,0.9761226110929396,0.2730560578661844,0.9631952391851683
Emphysema,21128,322,230,165,0.33880903490759756,0.4177215189873418,0.984988344988345,0.3741496598639456,0.9747310597390707
Fibrosis,20811,722,214,98,0.11951219512195121,0.3141025641025641,0.9664700691961176,0.17314487632508832,0.9571526665140765
Pleural_Thickening,19508,1650,381,306,0.15644171779141106,0.44541484716157204,0.92201531335665,0.23155505107832008,0.9070267795834287
Hernia,21785,28,6,26,0.48148148148148145,0.8125,0.9987163618025948,0.6046511627906976,0.998443579766537
